,timestamp,W,VLN,Day
3477230,00:00:00,15.911100388,249.47099304,Sunday
3477231,00:00:01,14.871500015,249.47000122,Sunday
3477232,00:00:03,15.743200302,249.49299622,Sunday
3477233,00:00:04,15.717200279,249.50500488,Sunday
3477234,00:00:05,14.770999908,249.51800537,Sunday
3477235,00:00:06,15.577300072,249.5269928,Sunday
3477236,00:00:07,15.569600105,249.54899597,Sunday
3477237,00:00:08,15.556599617,249.57200623,Sunday
3477238,00:00:09,15.520899773,249.58700562,Sunday
3477239,00:00:11,15.502300262,249.61599731,Sunday
3477240,00:00:12,15.475700378,249.61999512,Sunday
3477241,00:00:13,15.451600075,249.6289978,Sunday
3477242,00:00:14,15.447799683,249.64399719,Sunday
3477243,00:00:15,15.41079998,249.65299988,Sunday
3477244,00:00:16,15.369099617,249.66200256,Sunday
3477245,00:00:17,15.355199814,249.66299438,Sunday
3477246,00:00:18,15.34430027,249.67199707,Sunday
3477247,00:00:19,15.335000038,249.68600464,Sunday
3477248,00:00:21,14.556900024,249.70399475,Sunday
3477249,00:00:22,15.418000221,249.72000122,Sunday
3477250,00:00:24,15.435799599,249.72200012,Sunday
3477251,00:00:25,15.393699646,249.72999573,Sunday
3477252,00:00:27,15.382100105,249.7460022,Sunday
3477253,00:00:28,15.370900154,249.75,Sunday
3477254,00:00:30,14.56910038,249.76499939,Sunday
3477255,00:00:31,14.553299904,249.72799683,Sunday
3477256,00:00:32,14.559200287,249.70100403,Sunday
3477257,00:00:34,14.598199844,249.63200378,Sunday
3477258,00:00:35,15.288399696,249.59500122,Sunday
3477259,00:00:37,15.239700317,249.53900146,Sunday
3477260,00:00:38,15.210599899,249.51199341,Sunday
3477261,00:00:39,15.226499557,249.47900391,Sunday
3477262,00:00:40,15.208900452,249.46600342,Sunday
3477263,00:00:41,15.169699669,249.44900513,Sunday
3477264,00:00:42,15.160300255,247.64700317,Sunday
3477265,00:00:43,15.154700279,247.69999695,Sunday
3477266,00:00:44,15.142999649,247.74000549,Sunday
3477267,00:00:46,15.147100449,247.7749939,Sunday
3477268,00:00:47,15.147100449,247.78199768,Sunday
3477269,00:00:49,15.136400223,247.78300476,Sunday
3477270,00:00:50,15.822199821,247.77400208,Sunday
3477271,00:00:52,14.676699638,247.76899719,Sunday
3477272,00:00:53,14.671199799,247.75300598,Sunday
3477273,00:00:55,14.711500168,247.72000122,Sunday
3477274,00:00:56,15.52270031,247.70799255,Sunday
3477275,00:00:58,15.454299927,247.69599915,Sunday
3477276,00:00:59,15.436699867,247.69400024,Sunday
3477277,00:01:03,15.349200249,247.70300293,Sunday
3477278,00:01:04,15.346099854,247.69999695,Sunday
3477279,00:01:06,15.309000015,247.69900513,Sunday
3477280,00:01:07,15.2979002,247.69700623,Sunday
3477281,00:01:09,15.25249958,247.69200134,Sunday
3477282,00:01:10,15.23239994,247.68600464,Sunday
3477283,00:01:12,13.867799759,247.67300415,Sunday
3477284,00:01:13,15.117799759,247.65800476,Sunday
3477285,00:01:14,15.104499817,247.66299438,Sunday
3477286,00:01:16,15.116200447,247.66700745,Sunday
3477287,00:01:17,15.12250042,247.66600037,Sunday
3477288,00:01:19,15.170599937,247.67500305,Sunday
3477289,00:01:20,15.128399849,247.66999817,Sunday
3477290,00:01:22,15.151399612,247.63999939,Sunday
3477291,00:01:23,15.15569973,247.6289978,Sunday
3477292,00:01:25,15.177100182,247.60800171,Sunday
3477293,00:01:26,14.444000244,247.602005,Sunday
3477294,00:01:27,15.15530014,247.59700012,Sunday
3477295,00:01:29,14.914199829,247.59599304,Sunday
3477296,00:01:30,14.909600258,247.61000061,Sunday
3477297,00:01:32,14.927499771,247.60699463,Sunday
3477298,00:01:33,14.913599968,247.6000061,Sunday
3477299,00:01:34,14.942399979,247.59300232,Sunday
3477300,00:01:35,14.956999779,247.59399414,Sunday
3477301,00:01:36,14.967000008,247.59300232,Sunday
3477302,00:01:37,14.94410038,247.58299255,Sunday
3477303,00:01:38,14.929300308,247.57400513,Sunday
3477304,00:01:39,14.933600426,247.56399536,Sunday
3477305,00:01:41,14.934599876,247.53500366,Sunday
3477306,00:01:42,14.943699837,247.51499939,Sunday
3477307,00:01:44,14.894900322,247.4940033,Sunday
3477308,00:01:45,14.906200409,247.477005,Sunday
3477309,00:01:47,14.893899918,247.44299316,Sunday
3477310,00:01:48,14.915699959,247.43200684,Sunday
3477311,00:01:49,14.934100151,247.41600037,Sunday
3477312,00:01:51,14.949299812,247.38000488,Sunday
3477313,00:01:52,14.977000237,247.37600708,Sunday
3477314,00:01:54,14.927499771,247.3480072,Sunday
3477315,00:01:55,14.935099602,247.32400513,Sunday
3477316,00:01:57,14.901599884,247.30999756,Sunday
3477317,00:01:58,14.91629982,247.29600525,Sunday
3477318,00:02:02,15.704199791,247.27400208,Sunday
3477319,00:02:03,14.872099876,247.26499939,Sunday
3477320,00:02:04,14.913000107,247.2559967,Sunday
3477321,00:02:06,14.947500229,247.27600098,Sunday
3477322,00:02:07,14.962900162,247.272995,Sunday
3477323,00:02:09,14.969499588,247.28300476,Sunday
3477324,00:02:10,14.955200195,247.28300476,Sunday
3477325,00:02:12,14.923899651,247.29600525,Sunday
3477326,00:02:13,14.921500206,247.30400085,Sunday
3477327,00:02:15,14.901399612,247.29200745,Sunday
3477328,00:02:16,14.897100449,247.29699707,Sunday
3477329,00:02:17,14.908499718,247.29400635,Sunday
3477330,00:02:18,14.931799889,247.28900146,Sunday
3477331,00:02:19,14.922300339,247.28599548,Sunday
3477332,00:02:20,14.934000015,247.28599548,Sunday
3477333,00:02:21,14.920599937,247.28199768,Sunday
3477334,00:02:22,14.937700272,247.27600098,Sunday
3477335,00:02:24,14.931400299,247.25999451,Sunday
3477336,00:02:25,14.967499733,247.25300598,Sunday
3477337,00:02:26,14.9666996,247.2519989,Sunday
3477338,00:02:27,14.941599846,247.2440033,Sunday
3477339,00:02:28,14.915800095,247.24000549,Sunday
3477340,00:02:29,14.91779995,247.23899841,Sunday
3477341,00:02:30,14.93710041,247.23500061,Sunday
3477342,00:02:31,14.976499557,247.22399902,Sunday
3477343,00:02:33,14.988900185,245.84300232,Sunday
3477344,00:02:34,14.9708004,245.90299988,Sunday
3477345,00:02:36,14.974399567,246.00500488,Sunday
3477346,00:02:37,14.979800224,246.05799866,Sunday
3477347,00:02:39,14.982500076,246.13999939,Sunday
3477348,00:02:40,14.985300064,246.17999268,Sunday
3477349,00:02:41,14.964900017,246.21600342,Sunday
3477350,00:02:45,14.994000435,246.35400391,Sunday
3477351,00:02:46,15.003700256,246.38200378,Sunday
3477352,00:02:48,15.013999939,246.42999268,Sunday
3477353,00:02:49,15.021300316,246.44999695,Sunday
3477354,00:02:51,15.020899773,246.49099731,Sunday
3477355,00:02:52,15.806900024,246.51600647,Sunday
3477356,00:02:53,15.085399628,246.53599548,Sunday
3477357,00:02:55,15.112199783,246.57000732,Sunday
3477358,00:02:56,15.117899895,246.58500671,Sunday
3477359,00:02:58,15.072600365,246.60699463,Sunday
3477360,00:02:59,15.075200081,246.61399841,Sunday
3477361,00:03:01,15.029800415,246.63699341,Sunday
3477362,00:03:02,15.011199951,246.64500427,Sunday
3477363,00:03:03,14.983799934,246.64599609,Sunday
3477364,00:03:05,15.025699615,246.66099548,Sunday
3477365,00:03:06,15.036600113,246.67100525,Sunday
3477366,00:03:08,15.057299614,246.68699646,Sunday
3477367,00:03:09,15.064200401,246.68899536,Sunday
3477368,00:03:11,15.041799545,246.69599915,Sunday
3477369,00:03:12,15.025099754,246.70199585,Sunday
3477370,00:03:13,15.016300201,246.70899963,Sunday
3477371,00:03:15,15.004799843,246.58799744,Sunday
3477372,00:03:16,15.008299828,246.53199768,Sunday
3477373,00:03:18,14.99600029,246.5,Sunday
3477374,00:03:19,14.974300385,246.48800659,Sunday
3477375,00:03:21,14.292599678,246.4940033,Sunday
3477376,00:03:22,15.08409977,246.49499512,Sunday
3477377,00:03:24,14.597700119,246.49200439,Sunday
3477378,00:03:25,15.479999542,246.5,Sunday
3477379,00:03:27,14.749199867,246.49499512,Sunday
3477380,00:03:28,14.783100128,246.5019989,Sunday
3477381,00:03:30,14.80189991,246.51600647,Sunday
3477382,00:03:31,14.801699638,246.5249939,Sunday
3477383,00:03:32,14.792900085,246.53999329,Sunday
3477384,00:03:34,15.618599892,246.59100342,Sunday
3477385,00:03:35,14.761899948,246.59599304,Sunday
3477386,00:03:37,14.78730011,246.63600159,Sunday
3477387,00:03:38,14.086600304,246.65299988,Sunday
3477388,00:03:39,15.16629982,246.66200256,Sunday
3477389,00:03:41,14.277099609,246.78300476,Sunday
3477390,00:03:42,15.524700165,246.85099792,Sunday
3477391,00:03:44,14.665300369,246.93699646,Sunday
3477392,00:03:45,14.701399803,246.98500061,Sunday
3477393,00:03:46,15.399000168,247.04600525,Sunday
